# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = example_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 0.01
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 20
# random
#   seed = 974718116
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,mu
-0.940167,0.99998,0.01,6,1.37125
-0.135051,0.999978,0.01,6,-0.519713
-0.250915,0.999984,0.01,6,-0.708399
-0.0706471,0.999994,0.01,6,-0.375891
-0.0455334,0.999999,0.01,6,-0.301773
-0.10142,0.999991,0.01,6,0.450378
-0.392109,0.999981,0.01,6,-0.885561
-0.726052,0.999982,0.01,5,-1.20503
-0.00185417,1,0.01,7,-0.0608961
-0.0054918,0.999999,0.01,6,0.104803
-2.03775,0.999946,0.01,7,2.01879
-2.02746,1,0.01,2,2.01368
-2.01928,1,0.01,2,2.00962
-0.053353,0.99999,0.01,6,0.326659
-0.0937052,0.999997,0.01,7,-0.432909
-0.10659,0.999999,0.01,4,-0.461714
-0.0797107,0.999989,0.01,6,0.399276
-0.0668448,1,0.01,5,0.365636
-0.139676,0.999996,0.01,5,0.528537
-0.000907001,0.999998,0.01,6,0.0425911
-0.000949417,1,0.01,3,0.0435756
-0.601916,0.999984,0.01,7,1.09719
-0.341253,0.999996,0.01,5,0.82614
-0.250415,0.999994,0.01,7,-0.707693
-0.0452445,0.999999,0.01,6,-0.300814
-0.0777256,0.999998,0.01,5,-0.394273
-3.26534e-07,0.999999,0.01,6,-0.000808126
-0.129669,0.99999,0.01,6,-0.509253
-0.0823314,1,0.01,5,-0.405787
-0.00184973,0.999998,0.01,6,-0.0608231
-0.00454437,0.999997,0.01,7,0.0953349
-0.0227556,0.999999,0.01,6,0.213334
-0.0222473,1,0.01,3,0.210937
-0.0238136,1,0.01,4,0.218237
-0.0257723,0.999995,0.01,7,-0.227034
-0.269248,0.999993,0.01,6,-0.733824
-0.191248,0.999995,0.01,5,-0.618463
-0.237894,0.999999,0.01,5,-0.689774
-2.77415,0.999929,0.01,7,2.35548
-2.58059,0.999996,0.01,4,2.27182
-2.56733,1,0.01,2,2.26598
-1.82337,0.999995,0.01,5,1.90964
-0.228244,0.999998,0.01,7,-0.675639
-0.000356045,0.999997,0.01,6,-0.026685
-0.0308854,0.999993,0.01,6,0.248537
-0.0177289,0.999972,0.01,6,-0.188302
-0.272416,0.999994,0.01,7,0.738127
-0.0308855,0.999981,0.01,6,-0.248538
-0.0136315,0.999999,0.01,7,0.165115
-0.268553,0.999895,0.01,6,0.732875
-0.259396,0.999999,0.01,4,0.720272
-0.276213,0.999964,0.01,6,-0.743254
-0.575788,0.999988,0.01,5,-1.07312
-0.11804,0.999991,0.01,7,0.485881
-0.311508,0.999975,0.01,6,-0.789313
-0.104064,0.999995,0.01,5,-0.456211
-0.218832,0.999995,0.01,5,-0.661562
-0.0246621,0.999985,0.01,6,-0.222091
-0.0384249,1,0.01,5,-0.277218
-4.29011e-07,0.999999,0.01,7,0.000926295
-0.316081,0.999992,0.01,7,0.795087
-0.532203,0.999979,0.01,5,1.0317
-0.110924,0.999993,0.01,6,0.471006
-0.289174,0.999995,0.01,6,0.760492
-0.00166682,0.999999,0.01,6,0.0577377
-0.0191096,0.999999,0.01,6,0.195497
-0.019607,1,0.01,3,0.198025
-0.00173352,0.999983,0.01,6,0.0588816
-0.00118619,0.999992,0.01,6,-0.0487071
-0.0037299,1,0.01,5,-0.0863701
-0.419166,0.999983,0.01,6,0.915604
-1.39493,0.999975,0.01,6,1.67029
-0.647349,0.999978,0.01,5,1.13785
-0.57025,0.999997,0.01,4,1.06794
-0.20473,0.999988,0.01,5,0.639891
-0.202668,1,0.01,2,0.636661
-0.0121424,0.999998,0.01,6,0.155836
-1.16459,0.999971,0.01,6,-1.52617
-0.902257,0.999998,0.01,5,-1.34332
-0.204902,0.999969,0.01,6,-0.640159
-1.81162e-05,0.999999,0.01,6,-0.00601934
-0.0224295,0.999999,0.01,6,0.211799
-0.113543,0.999995,0.01,6,-0.476535
-0.0678273,0.999994,0.01,6,0.368313
-0.145145,0.999992,0.01,6,0.538785
-0.358132,0.999987,0.01,5,0.846324
-0.183337,0.999999,0.01,7,-0.605537
-0.134795,0.999999,0.01,5,-0.519221
-0.0339913,0.999996,0.01,6,-0.260735
-0.445735,0.999983,0.01,6,-0.944177
-0.211299,0.999996,0.01,5,-0.650075
-0.231181,0.999999,0.01,4,-0.679972
-0.366817,0.999993,0.01,5,-0.856525
-0.601199,0.99998,0.01,5,-1.09654
-0.612315,0.999999,0.01,3,-1.10663
-0.15366,0.999997,0.01,7,0.554364
-0.96252,0.999979,0.01,6,1.38746
-0.312267,0.999973,0.01,6,-0.790274
-0.0597749,0.999964,0.01,6,0.34576
-0.0935234,0.999998,0.01,7,-0.432489
-0.0888993,1,0.01,4,-0.421662
-0.00888382,0.999998,0.01,6,-0.133295
-0.0390284,0.999969,0.01,7,0.279386
-0.0144195,0.999998,0.01,7,-0.169821
-0.113269,0.999995,0.01,6,0.47596
-1.28546e-05,0.999997,0.01,7,0.00507042
-0.108538,0.99999,0.01,6,0.465913
-0.102153,1,0.01,5,0.452002
-0.0378351,0.999994,0.01,6,0.275082
