# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = example_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 20
# random
#   seed = 986753838
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,mu
-0.0254861,0.999454,0.1,3,3.77423
-0.78878,0.997737,0.1,3,5.25601
-1.54748,0.996046,0.1,2,5.75925
-1.09316,0.999378,0.1,4,5.47862
-1.1493,0.999761,0.1,0,5.51611
-0.00645958,0.999928,0.1,3,3.88634
-0.288503,0.999063,0.1,3,4.75961
-0.240415,0.999928,0.1,1,4.69342
-0.170085,0.999984,0.1,2,4.58324
-0.189938,0.999928,0.1,3,4.61634
-1.17859,0.997355,0.1,3,5.53531
-1.06333,0.999939,0.1,1,5.45831
-0.953758,0.999459,0.1,1,5.38113
-1.09468,0.999534,0.1,1,5.47965
-0.0639901,0.997686,0.1,2,4.35774
-0.0459078,0.999994,0.1,3,4.30301
-0.00386959,0.999905,0.1,3,3.91203
-0.0518352,0.998805,0.1,4,4.32198
-0.403863,0.998791,0.1,3,4.89874
-0.261167,0.999999,0.1,4,4.72273
-0.64607,0.995957,0.1,3,2.86328
-0.221855,0.999013,0.1,2,3.33388
-0.230541,0.999968,0.1,0,3.32097
-0.199074,0.99997,0.1,1,3.36901
-0.0190689,0.999637,0.1,3,3.80471
-0.560727,0.99804,0.1,3,5.05899
-0.580892,0.999967,0.1,2,5.07786
-0.306476,0.997696,0.1,3,4.78291
-0.311583,0.999997,0.1,2,4.78941
-0.0572938,0.999855,0.1,3,3.66149
-0.262612,0.998805,0.1,2,3.27528
-0.500921,0.998782,0.1,2,2.99908
-0.223774,0.999049,0.1,2,3.33101
-0.28065,0.99996,0.1,4,3.2508
-0.120775,0.998622,0.1,3,4.49148
-0.0102774,0.999572,0.1,3,4.14337
-0.0156831,0.999923,0.1,3,3.82289
-0.288886,0.999324,0.1,3,3.23989
-0.000696135,0.995802,0.1,3,4.03731
-0.50151,0.998681,0.1,3,5.00151
-0.154923,0.999019,0.1,2,4.55664
-0.535255,0.997551,0.1,3,2.96535
-0.506168,0.999978,0.1,2,2.99385
-1.10346,0.998356,0.1,2,2.51443
-0.635888,0.996976,0.1,2,2.87227
-0.668079,0.999864,0.1,0,2.84408
-1.97283,0.996539,0.1,3,2.01363
-0.0562715,0.998129,0.1,3,3.66453
-0.0985308,0.99991,0.1,3,3.55608
-1.32608,0.995128,0.1,3,2.37145
-2.9435,0.997483,0.1,4,1.57368
-2.88392,0.999988,0.1,2,1.59837
-0.127638,0.99178,0.1,3,3.49475
-0.430456,0.99885,0.1,3,4.92785
-0.317145,0.999615,0.1,2,4.79642
-0.600945,0.999012,0.1,2,5.09631
-0.423067,0.99994,0.1,2,4.91986
-0.399577,0.999998,0.1,3,4.89395
-0.166965,0.999917,0.1,2,4.57787
-0.000108709,0.999816,0.1,3,4.01475
-0.365237,0.999029,0.1,3,4.85468
-0.0117031,0.999416,0.1,3,3.84701
-0.00196258,0.999499,0.1,3,4.06265
-1.04689,0.996911,0.1,3,2.55301
