# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-2.51459,0.915002,0.317412,4,15,0,2.77528,1.08011,0.590905,0.587621,0.060129,-0.894626,0.654539,1.3712,0.881995,2.96448
-1.95999,0.962244,0.437185,3,7,0,3.4343,-0.852487,0.803643,-0.664993,1.83649,0.181939,2.53485,-3.79047,-2.13434,-2.01845
-1.63213,0.99118,0.675268,3,7,0,3.38143,1.13692,-0.132459,0.324664,1.56159,-1.02105,-2.76757,1.28125,0.0118629,1.87438
-0.906726,0.817368,1.11428,2,3,0,1.64665,0.882396,-0.498447,-0.269637,0.864363,0.0540702,2.08016,0.292095,-1.08875,0.379962
-1.66308,0.486187,1.18338,2,7,1,2.12368,-0.924419,1.17439,-0.632387,1.26167,-0.851335,0.386451,-2.61842,-0.519613,-0.527809
-3.22749,0.652891,0.553264,3,7,0,4.75477,0.139894,1.49274,0.693497,1.28022,-2.15663,-0.854896,0.365844,1.71869,3.79845
-1.22038,0.994475,0.393833,3,7,0,4.03413,-0.312663,1.10333,0.0576424,-1.74417,-1.53657,-3.4832,-0.256994,1.159,1.11872
-1.56603,0.931259,0.648057,2,7,0,4.56317,0.993212,-0.801163,0.123031,2.84561,-2.55731,-0.611207,0.574013,-1.22036,1.05423
-2.92392,0.883749,0.90852,2,3,0,3.6243,1.62997,0.377517,-0.181532,1.94595,0.406851,-0.547755,3.46925,2.21679,-1.65743
-2.92392,0.076354,1.13071,2,3,0,5.40745,1.62997,0.377517,-0.181532,-0.172401,-2.93289,1.54442,3.46925,2.21679,-1.65743
-1.99528,0.956948,0.203854,3,7,0,5.76506,1.49782,-0.17864,0.195705,-1.44686,-2.87422,3.10436,1.89738,0.220923,1.24293
-1.86908,0.988918,0.303946,3,15,0,3.3418,0.798234,-0.597401,-1.12501,0.70211,-1.39606,2.52228,-4.20534,-5.60097,-2.5333
-0.964535,1,0.485984,3,11,0,1.81129,-0.547827,0.938074,-0.311973,-0.140509,-1.53102,-1.83515,-1.17854,0.307366,0.322678
-0.964535,0,6.99112,0,1,1,3.30305,-0.547827,0.938074,-0.311973,-0.290468,-3.15323,1.76505,-1.17854,0.307366,0.322678
-1.35595,0.981305,1.18151,2,3,0,1.83496,0.952207,-0.427681,0.233848,-0.651667,1.24522,0.740636,0.824619,-0.555269,1.57033
-1.35595,0.00303116,1.59251,1,2,1,2.2573,0.952207,-0.427681,0.233848,-1.72325,-0.754931,0.358943,0.824619,-0.555269,1.57033
-1.18841,0.996625,0.150722,4,27,0,3.60056,0.902659,0.373852,0.0759183,-0.519484,3.24243,-1.528,1.37373,0.844926,0.905673
-0.667627,0.99989,0.232891,3,7,0,1.25077,0.381937,0.0543683,0.0520176,-1.22104,-0.810269,-0.758671,0.118887,-0.208681,1.03286
-2.1418,0.931548,0.395693,2,7,0,3.24335,0.960843,0.701185,0.462741,0.957369,1.7333,1.54627,1.33096,1.0713,2.17746
-1.26884,0.975474,0.571635,2,7,0,3.1618,-0.30694,1.08989,0.11286,2.25168,-0.165924,2.2455,-0.263254,1.13357,1.25083
-3.47131,0.644118,0.971949,2,3,0,3.69326,0.152495,1.42539,0.777508,-0.745305,-0.0925529,-0.819991,0.331937,1.60483,4.58269
-3.61331,0.966891,0.589491,3,7,0,5.18944,0.74868,1.06417,0.834999,1.65891,-1.92259,-1.06589,0.952865,1.26836,5.09069
