"data$x_predict","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90."
5.08,-20.8645744253483,-20.0003799417802,-19.4068129408944,-18.8490910388128,-18.3780103389869,-17.8385816495755,-17.3196987918409,-16.7595921382992,-15.930815471955
5.12,-20.9805040350801,-20.1182041425709,-19.5230201901598,-18.9640886032474,-18.4978851328757,-17.9532938087112,-17.4319333012308,-16.8756461811395,-16.0385355463206
5.16,-21.0991326785882,-20.2357968097259,-19.6383365524277,-19.0797279013319,-18.6107991147665,-18.0688727810303,-17.5437550044544,-16.988054644524,-16.1514445854539
5.2,-21.2215177878642,-20.3539949342577,-19.7485115512308,-19.1943413080319,-18.7311478036716,-18.1847608789495,-17.6536861631257,-17.1026573618864,-16.2592273613892
5.24,-21.3400019950171,-20.4702278175432,-19.8624987095489,-19.3089217124027,-18.8450541704277,-18.2921743625189,-17.7650312495319,-17.2140066895532,-16.370327172978
5.28,-21.4580952195978,-20.5835100836508,-19.9717153822145,-19.4218544868096,-18.9592889181915,-18.4094485087366,-17.8744178537037,-17.3200617483281,-16.4786535421208
5.32,-21.5653079559867,-20.7007219680904,-20.0855007489345,-19.5332943752116,-19.0681225375726,-18.5181491317398,-17.9833057079997,-17.4322552842542,-16.5925248930851
5.36,-21.6843471350067,-20.8132733662914,-20.1911443715132,-19.6428444276315,-19.1743261226625,-18.6287033209916,-18.0916896558932,-17.5352770889508,-16.6973641585906
5.4,-21.8019938688824,-20.9181805331787,-20.3039157171894,-19.7522549748265,-19.2789876616228,-18.7361871460543,-18.2003871957213,-17.6463023730474,-16.8022590040307
5.44,-21.9079741961167,-21.0262785322015,-20.4151835189255,-19.8619665857251,-19.3831770543068,-18.8478525212286,-18.3061077065729,-17.7568885113753,-16.9115824432853
5.48,-22.009680345194,-21.1350927550797,-20.5190308885583,-19.9681954770986,-19.4865686360817,-18.9575736623044,-18.4126425397816,-17.8607413756455,-17.0202222155734
5.52,-22.1234271803382,-21.2338759526016,-20.621693372583,-20.0739183698155,-19.5943838385329,-19.0651129021341,-18.5190666761112,-17.9640010323155,-17.1217708069867
5.56,-22.2265528920325,-21.3381902718081,-20.7234634085332,-20.1752978587595,-19.6979863756371,-19.1718663802817,-18.6169969662626,-18.0722240449136,-17.2235795039064
5.6,-22.3307758638174,-21.4371585551707,-20.8265944247802,-20.2788685750287,-19.7981903826474,-19.2764100245143,-18.7114896545036,-18.1791219935978,-17.3315912284424
