xs,normal_prior,normal_mixture_prior,laplace_prior,cauchy_prior,horseshoe_prior
-5.02499999999999,1.3116154228951e-06,0.00879159424192414,0.00328579324746484,0.0121258021926637,0.00919353793000513
-5,1.4867195147343e-06,0.00880274820874354,0.00336897349954273,0.0122426879301458,0.00931653021990086
-4.97499999999999,1.68414753991692e-06,0.00881387766090224,0.00345425946972728,0.0123612489476971,0.00943032698391535
-4.94999999999999,1.90660090312292e-06,0.0088249844356261,0.0035417044645261,0.0124815169565255,0.00953981572382457
-4.925,2.15708877823647e-06,0.00883607060151052,0.00363136313990746,0.0126035244102568,0.00965298918543184
-4.89999999999999,2.43896074589346e-06,0.00884713848300392,0.0037232915354622,0.0127273045255415,0.00976158894448489
-4.875,2.75594259754997e-06,0.00885819068726619,0.00381754710942998,0.0128528913033203,0.00984118965776825
-4.84999999999999,3.11217557914903e-06,0.00886923013360684,0.00391418877461291,0.0129803195507714,0.00987475634374933
-4.82499999999999,3.51225936721848e-06,0.00888026008572236,0.00401327693519762,0.0131096249039632,0.00988051891364321
-4.8,3.96129909103213e-06,0.0088912841869682,0.00411487352451003,0.0132408438512392,0.00991358537754966
-4.77499999999999,4.46495673628482e-06,0.00890230649891692,0.0042190420437258,0.0133740137573611,0.0100256315584076
-4.75,5.02950728859245e-06,0.00891333154347103,0.00432584760156032,0.0135091728884367,0.0102101926276271
-4.72499999999999,5.661899999035e-06,0.00892436434881752,0.00443535695496415,0.0136463604376642,0.0103924386166016
-4.69999999999999,6.36982517886744e-06,0.00893541049952917,0.00454763855084796,0.0137856165519182,0.0104882950180994
-4.675,7.16178695646802e-06,0.00894647619113755,0.00466276256886418,0.0139269823592131,0.0104791614285457
-4.64999999999999,8.04718245649262e-06,0.00895756828952264,0.00478080096527179,0.0140704999970733,0.0104255194446882
-4.625,9.03638788905137e-06,0.00896869439548497,0.00490182751791091,0.0142162126418441,0.0104136386722312
-4.59999999999999,1.0140852065487e-05,0.00897986291488773,0.00502591787231682,0.0143641645389798,0.010496794705395
-4.57499999999999,1.13731978868873e-05,0.00899108313477833,0.00515314958900043,0.0145144010343432,0.0106746864110404
-4.55,1.27473323818336e-05,0.00900236530592198,0.00528360219192634,0.0146669686065564,0.0109055110451277
-4.52499999999999,1.42785659008884e-05,0.00901372073220272,0.00541735721821812,0.0148219149004414,0.0111328619228718
-4.5,1.59837411069055e-05,0.00902516186737138,0.00555449826912115,0.0149792887615901,0.0113165481194408
-4.47499999999999,1.78813724323248e-05,0.00903670241964371,0.00569511106225672,0.0151391402721104,0.0114526844074569
-4.44999999999999,1.99917967069238e-05,0.00904835746467634,0.00583928348519779,0.0153015207875877,0.0115667265584884
-4.425,2.23373356920763e-05,0.00906014356747264,0.00598710565040183,0.0154664829753125,0.0116828878250731
-4.39999999999999,2.49424712900545e-05,0.00907207891379485,0.00613866995153427,0.0156340808538208,0.0118009297267777
-4.375,2.78340342292149e-05,0.00908418345168304,0.006294071121217,0.0158043698337957,0.0119067284221596
-4.34999999999999,3.1041407057851e-05,0.00909647904370566,0.00645340629023997,0.0159774067603861,0.0120033275360681
-4.32499999999999,3.45967423106507e-05,0.00910898963058941,0.00661677504827054,0.0161532499569941,0.0121251235872734
-4.3,3.85351967420875e-05,0.0091217414068994,0.00678427950610049,0.0163319592705896,0.0123153713791453
-4.27499999999999,4.28951825501288e-05,0.009134763009462,0.00695602435946887,0.0165135961186105,0.0125816872529135
-4.25,4.7718636541205e-05,0.00914808571924356,0.00713211695449963,0.0166982235375103,0.0128703541219295
-4.22499999999999,5.30513082131956e-05,0.00916174367741773,0.00731266735479715,0.0168859062330184,0.0130965428714473
-4.19999999999999,5.89430677565427e-05,0.00917577411637126,0.00749778841023894,0.0170767106321777,0.0132165333033712
-4.175,6.54482349946215e-05,0.00919021760641428,0.00768759582751074,0.0172707049372331,0.0132702402978892
-4.14999999999999,7.2625930302255e-05,0.00920511831897422,0.00788220824242731,0.0174679591814401,0.0133410626753675
-4.125,8.05404485555941e-05,0.00922052430706309,0.00808174729408294,0.0176685452868713,0.0134744481874833
-4.09999999999999,8.9261657177135e-05,0.00923648780381626,0.00828633770088067,0.0178725371243005,0.0136480001003762
-4.07499999999999,9.88654193453737e-05,0.00925306553990458,0.00849610733848463,0.0180800105752447,0.0138195620235501
-4.05,0.000109434043439802,0.00927031908062306,0.00871118731974678,0.0182910435962529,0.0139829637711552
-4.02499999999999,0.000121056759787249,0.00928831518345554,0.0089317120766571,0.0185057162855299,0.0141645012799465
-4,0.000133830225764885,0.00930712617690675,0.00915781944436709,0.0187241109519877,0.0143841832946079
-3.97499999999999,0.000147859060298077,0.00932683036138062,0.00938965074734226,0.0189463121868259,0.0146444230492411
-3.94999999999999,0.000163256408766249,0.00934751243286448,0.00962735088769357,0.0191724069377378,0.0149430832692779
-3.925,0.000180144539297691,0.00936926393015499,0.00987106843574642,0.0194024845858534,0.0152703470724721
-3.89999999999999,0.000198655471392779,0.0093921837063304,0.0101209557229023,0.019636637025527,0.0155934019847184
-3.875,0.000218931637764612,0.00941637842513571,0.0103771689368499,0.0198749587470855,0.0158717471541207
-3.84999999999999,0.000241126580225999,0.00944196308290278,0.0106398682191886,0.0201175469226602,0.0160864701893077
-3.82499999999999,0.00026540568038024,0.00946906155657309,0.0109092177655215,0.0203645014952244,0.0162407368431378
-3.8,0.000291946925791463,0.00949780717833025,0.0111853859280828,0.0206159252709709,0.0163401954771957
-3.77499999999999,0.000320941712215751,0.00952834333727804,0.0114685453209646,0.0208719240151661,0.0163958179239061
-3.75,0.000352595682367445,0.00956082410851981,0.0117588729280046,0.021132606551621,0.016444766497078
-3.72499999999999,0.000387129601575598,0.00959541490990551,0.0120565502134085,0.0213980848659328,0.0165386606139068
-3.69999999999999,0.00042478027055077,0.00963229318661142,0.0123617632351698,0.0216684742126476,0.0166961898735296
-3.675,0.000465801475335042,0.00967164912360726,0.0126747027613625,0.0219438932265098,0.0168867530630588
-3.64999999999999,0.000510464974344202,0.00971368638594249,0.0129955643893778,0.0222244640379677,0.0170747900614708
-3.625,0.000559061522232165,0.00975862288664914,0.0133245486681777,0.0225103123931079,0.0172640017070812
-3.59999999999999,0.000611901930113785,0.00980669158191355,0.0136618612236464,0.0228015677782086,0.017483795359556
-3.57499999999999,0.000669318161469685,0.00985814129300948,0.0140077128871111,0.0230983635490983,0.0177431056268651
-3.55,0.000731664462830318,0.00991323755431568,0.0143623198271198,0.0234008370655241,0.0180133063968765
-3.52499999999999,0.000799318528090778,0.00997226348655655,0.0147259036845538,0.0237091298307373,0.0182581843313149
-3.5,0.00087268269504576,0.0100355206942078,0.0150986917111593,0.0240233876365125,0.0184712249218492
-3.47499999999999,0.000952185172456289,0.0101033301858008,0.0154809169115885,0.0243437607138314,0.018673674793458
-3.44999999999999,0.00103828129566145,0.0101760333156363,0.0158728181890342,0.0246704038894627,0.0188765433361742
-3.425,0.00113145480843722,0.0102539927451822,0.0162746404945518,0.02500347674869,0.0190546034183962
-3.39999999999999,0.00123221916847305,0.0103375934221861,0.0166866349801632,0.0253431438044421,0.0191659569418789
-3.375,0.00134111887349038,0.0104272435752682,0.017109059155833,0.0256895746730928,0.0192007782465253
-3.34999999999999,0.00145873080466677,0.0105233757214937,0.0175421770504226,0.0260429442572135,0.0192114417783867
-3.32499999999999,0.00158566558364952,0.0106264476841375,0.017986259376715,0.0264034329355627,0.0192873675544875
-3.3,0.0017225689390537,0.0107369436175619,0.0184415837006201,0.0267712267606216,0.0194882248793645
-3.27499999999999,0.0018701230779337,0.0108553750358246,0.0189084346146627,0.0271465176639874,0.0197958162684122
-3.25,0.00202904805729977,0.0109822818413203,0.019387103915861,0.0275295036699495,0.0201325278061268
-3.22499999999999,0.00220010315032717,0.011118233349442,0.0198778907881108,0.0279203891175959,0.0204334790916436
-3.19999999999999,0.00238408820146493,0.0112638293049162,0.0203811019891833,0.0283193848917965,0.0207081771546712
-3.175,0.00258184496421224,0.0114197008851403,0.02089705204246,0.0287267086634365,0.0210256022700096
-3.14999999999999,0.00279425841487952,0.0115865116855066,0.0214260634335203,0.0291425851392806,0.0214258373938826
-3.125,0.00302225803519876,0.0117649586813648,0.0219684668117037,0.0295672463218615,0.0218564407393382
-3.09999999999999,0.00326681905619998,0.0119557731609331,0.022524601196779,0.0300009317798107,0.022219417559266
