xs,normal_cdf,cauchy_cdf,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,cauchy_prior,cauchy_post_containment,cauchy_post_contraction,cauchy_post_compromise
5.6,0.997444869669572,0.99169076820912,0.0615802856064309,1.14998293354923e-175,1.19870019926929e-75,0.00395772579148997,0.00352417048447473,3.03312201806007e-177,9.89474538977934e-72,0.00148311741606481,0.00126650194593681,7.60034316938813e-177,4.00680614449443e-75
5.625,0.997542098824803,0.991727681465301,0.0613582281574352,6.68534146052032e-177,7.66172996668774e-75,0.0038213029093732,0.00339042221223136,1.70250283807817e-178,6.10641971165925e-71,0.00146997232834266,0.00125075024663009,4.37924280896975e-178,2.53833080069527e-74
5.65,0.997635969198297,0.991764268275103,0.0611354430385941,3.84780317233683e-178,4.84841917963222e-74,0.00368900607432338,0.00326115877612081,9.4596486050871e-180,3.73042124477736e-70,0.00145700119089026,0.00123521227362241,2.49826801051661e-179,1.59210712565413e-73
5.675,0.997726582659913,0.991800532948954,0.0609119440108926,2.19259872739561e-179,3.0375996553696e-73,0.00356073306292328,0.00313625514759263,5.20297046119754e-181,2.25589196253454e-69,0.00144420094866316,0.0012198845024343,1.41108461096841e-180,9.88713307565596e-73
5.7,0.997814038545087,0.991836479721743,0.0606877448386248,1.23697955680528e-180,1.88416080123637e-72,0.00343638334530697,0.00301558875081558,2.8328065188659e-182,1.35041705658903e-68,0.00143156861337769,0.00120476348266139,7.89116205417988e-182,6.07914288446455e-72
5.725,0.997898433697209,0.991872112754469,0.0604628592880081,6.90912328063012e-182,1.15707750109472e-71,0.00331585808800059,0.00289903945588611,1.52676312689314e-183,8.00215076000118e-68,0.00141910126176833,0.00118984583606491,4.36920679147283e-183,3.70073556622495e-71
5.75,0.997979862510054,0.991907436135845,0.0602373011258015,3.82067781677954e-183,7.03499817038041e-71,0.00319906015536178,0.00278648957012377,8.14545987928088e-185,4.69390980624169e-67,0.00140679603389783,0.00117512825471954,2.39517816564954e-184,2.23052627183157e-70
5.775,0.99805841697023,0.99194245388386,0.0600110841179299,2.09177489746568e-184,4.23469936545719e-70,0.00308589410966618,0.00267782382753697,4.30178550398363e-186,2.72553615955031e-66,0.00139465013151837,0.00116060749921691,1.30000939507093e-185,1.33106748503561e-69
5.8,0.998134186699616,0.9919771699473,0.0597842220281135,1.13382631456242e-185,2.52370294224164e-69,0.00297626620988792,0.00257292937654076,2.24890490308054e-187,1.5666008312608e-65,0.00138266081648199,0.00114628039692255,6.98599804102973e-187,7.86440930316636e-69
5.825,0.998207258997748,0.992011588207233,0.0595567286165015,6.08464398535238e-187,1.48905568637833e-68,0.00287008440922123,0.00247169576600751,1.16381145504427e-188,8.91361667986745e-65,0.00137082540919856,0.00113214384028475,3.71692322218233e-188,4.6005028488325e-68
5.85,0.998277718884132,0.992045712478454,0.0593286176383129,3.23281511665179e-188,8.69842653719759e-68,0.00276725835139024,0.00237401492973069,5.96188178496007e-190,5.02040497907096e-64,0.00135914128713972,0.00111819478519337,1.95799575322128e-189,2.66451104081701e-67
5.875,0.998345649140453,0.992079546510894,0.0590999028424822,1.70052734141102e-189,5.03068953151277e-67,0.00266769936579316,0.00227978116938002,3.02324462855343e-191,2.79906346816771e-63,0.00134760588338721,0.00110443024938699,1.02120466314966e-190,1.52792709663516e-66
5.9,0.998411130352635,0.992113093990989,0.058870597970311,8.85611862134701e-191,2.88052326108797e-66,0.00257132046152696,0.00218889113602594,1.51758287143733e-192,1.54481307748443e-62,0.00133621668522411,0.00109084731090688,5.27334988197433e-192,8.67482047518303e-66
5.925,0.998474240952759,0.992146358543022,0.0586407167541265,4.56625631807135e-192,1.6329478404287e-65,0.00247803632033836,0.00210124381030939,7.54085758752787e-194,8.43972556921446e-62,0.0013249712327675,0.00107744310659607,2.69608144298695e-193,4.87630633497842e-65
5.95,0.99853505726077,0.992179343730424,0.0584102729159451,2.33095668042742e-193,9.16495409479934e-65,0.00238776328854577,0.0020167404813317,3.70918298223287e-195,4.56425510090785e-61,0.0013138671176412,0.00106421483064204,1.36474627624235e-194,2.71390072107466e-64
5.975,0.998593653525989,0.99221205305705,0.0581792801661437,1.17805393423359e-194,5.09266759904838e-64,0.0023004193679774,0.00193528472433845,1.80603006101953e-196,2.44343443900654e-60,0.0013029019816873,0.00105115973316179,6.8397966558984e-196,1.49544103621554e-63
6,0.99865010196837,0.992244489968412,0.057947752202137,5.89458453951419e-196,2.80167285372743e-63,0.002215924205969,0.001856782377269,8.70484189867666e-198,1.29485360004316e-59,0.00129207351571499,0.00103827511882755,3.39395982528074e-197,8.15862300281177e-63
6.025,0.998704472819508,0.992276657852894,0.0577157027070614,2.92010375371155e-197,1.52597201446028e-62,0.00213419908446508,0.00178114151624248,4.15323014185008e-199,6.79250306533974e-59,0.00128137945828575,0.00102555834553216,1.66740965547856e-198,4.40693398888215e-62
6.05,0.998756834363357,0.992308560042928,0.0574831453484669,1.43218928309583e-198,8.22872921211491e-62,0.00205516690826628,0.00170827243004934,1.96155415824881e-200,3.52718479972499e-58,0.00127081759453347,0.00101300682309251,8.11054261545929e-200,2.35682973469824e-61
6.075,0.998807252976647,0.992340199816144,0.0572500937770149,6.95439912333729e-200,4.39314996006813e-61,0.00197875219246498,0.00163808759371575,9.17072786677645e-202,1.81307505221223e-57,0.00126038575501845,0.00100061801199003,3.90597419593573e-201,1.24793433269887e-60
6.1,0.998855793168977,0.992371580396493,0.0570165616251845,3.34330393356843e-201,2.32207552261175e-60,0.0019048810491109,0.00157050164120707,4.24420649746171e-203,9.22555594003426e-57,0.00125008181461413,0.000988389422146896,1.86243261572986e-202,6.54224790329583e-60
6.125,0.998902517622562,0.992402704955339,0.0567825625059852,1.59128937091285e-202,1.21516067951597e-59,0.00183348117314711,0.00150543133733433,1.94436771876058e-204,4.64684843831818e-56,0.00123990369142559,0.000976318611736845,8.79231799095474e-204,3.39573569485512e-59
6.15,0.998947487231624,0.992433576612532,0.0565481100116784,7.49858846902993e-204,6.29575951910747e-59,0.00176448182765687,0.00144279554892671,8.8175817540468e-206,2.31693401550172e-55,0.00122984934573864,0.00096440318602951,4.1095825253358e-205,1.74506763532915e-58
6.175,0.998990761141404,0.99246419843744,0.0563132177125056,3.49837960640933e-205,3.22938340126427e-58,0.00169781382846038,0.00138251521533082,3.95830982731989e-207,1.14355753567824e-54,0.00121991677899862,0.000952640796267148,1.9017937214374e-206,8.87895862478677e-58
6.2,0.999032396786782,0.992494573449975,0.0560778991554256,1.61588853958051e-206,1.64001621433357e-57,0.00163340952809995,0.00132451331829597,1.75897339552324e-208,5.58716595398636e-54,0.00121010403281792,0.000941029138572756,8.71365540294056e-208,4.47283696956598e-57
