xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-3.9,0.0397791052398613,1.55124477269886e-20,0,0.0297973530344081,0.0171396601488509,3.08042615978686e-21,0,0.0972762645914397,0.0604339944545637,1.55124477269886e-20,0
-3.875,0.0400139955016762,4.03117415772e-20,0,0.0305302025205332,0.0176648971759896,8.20189172620591e-21,0,0.0972762645914397,0.060790849056857,4.03117415772e-20,0
-3.85,0.0402492665146279,1.03714588044024e-19,0,0.0312761887498301,0.0182029302708894,2.16175492691245e-20,0,0.0972762645914397,0.0611482821113793,1.03714588044024e-19,0
-3.825,0.0404849087194394,2.6418319442958e-19,0,0.0320353967599855,0.0187539511837879,5.64011656577624e-20,0,0.0972762645914397,0.0615062790952976,2.6418319442958e-19,0
-3.8,0.0407209124728279,6.66235212951948e-19,0,0.0328079073873383,0.0193181503189835,1.45666236157296e-19,0,0.0972762645914397,0.0618648253581542,6.66235212951948e-19,0
-3.775,0.0409572680479797,1.66343959164613e-18,0,0.0335937971137719,0.019895716553992,3.7240792497171e-19,0,0.0972762645914397,0.0622239061225883,1.66343959164613e-18,0
-3.75,0.0411939656350396,4.11190942866757e-18,0,0.034393137913346,0.0204868370546501,9.42471284026141e-19,0,0.0972762645914397,0.0625835064850784,4.11190942866757e-18,0
-3.725,0.0414309953416119,1.00632231078064e-17,0,0.0352059970988053,0.0210916970862495,2.36105734677943e-18,0,0.0972762645914397,0.0629436114167047,1.00632231078064e-17,0
-3.7,0.0416683471932757,2.43830325182504e-17,0,0.036032437168109,0.0217104798207876,5.85509763264299e-18,0,0.0972762645914397,0.0633042057639314,2.43830325182504e-17,0
-3.675,0.0419060111341136,5.84918543000242e-17,0,0.0368725156511258,0.0223433661404374,1.43731164279516e-17,0,0.0972762645914397,0.0636652742494099,5.84918543000242e-17,0
